0,1,2,3,4,5,6,7,8,9,y
0.82,-1.72,5.382,3.706,0.083,-2.322,-2.263,-5.213,5.753,-1.036,39.738759999999985
-7.633,4.885,-2.261,3.285,6.416,0.205,-4.694,-6.812,-6.105,5.561,-58.39601600000001
0.049,1.793,-7.999,3.831,-6.554,-0.015,-2.846,-1.142,1.847,1.676,-83.63836500000002
0.547,-1.663,-8.5,-6.824,-6.727,-6.956,-7.716,-3.112,-2.39,8.762,-254.826816
2.522,4.58,-5.69,-1.051,-9.23,9.411,-1.485,0.432,5.244,-0.421,5.2488059999999885
4.633,5.506,7.469,-8.34,7.979,-7.104,-6.829,-1.059,3.922,5.871,131.77599600000002
-0.836,-1.741,-0.151,-8.381,-5.572,-3.033,-6.721,5.762,-0.572,-0.721,-137.67390800000004
0.696,-2.475,8.556,-7.771,8.988,-0.783,4.922,7.423,8.355,-9.323,167.62201499999998
-6.54,2.484,9.582,-0.507,0.382,9.967,0.899,9.807,-1.885,-7.48,140.63615299999998
3.841,9.843,-6.755,-9.763,6.324,5.924,5.568,8.363,-8.975,6.676,125.15779099999999
-8.752,-6.675,6.536,7.818,-3.149,-7.266,7.97,0.793,1.948,8.998,83.79677299999997
1.52,6.02,1.892,1.206,-5.531,3.212,8.538,-4.632,0.848,-7.497,17.338066000000012
8.227,-0.11,8.151,-0.12,-2.304,6.737,7.066,-4.351,8.813,-0.094,224.72309299999998
-0.287,-7.31,-9.644,-1.894,-3.76,4.478,-5.674,-5.761,-5.72,-5.311,-336.581932
5.881,-9.804,-8.044,4.062,-8.689,-6.89,0.74,-2.123,-5.831,-3.057,-269.179995
4.042,-7.199,-9.055,0.011,-2.172,2.308,-9.282,-1.5,6.3,-1.889,-146.73176500000002
9.597,-7.649,-4.558,3.993,7.587,0.7,-9.518,6.686,9.148,1.379,142.55012899999997
-8.615,-2.327,-0.264,4.379,8.66,-6.097,-9.348,-3.13,2.523,9.529,-3.4674140000000193
-0.904,5.483,2.484,-4.347,-2.589,-9.249,8.844,7.577,0.393,-6.72,27.91563899999999
1.365,7.862,2.073,-0.698,-0.809,-1.958,8.775,3.41,6.815,3.182,225.70613900000004
1.345,-7.528,2.262,1.383,6.257,2.049,-8.003,0.126,2.544,-0.84,12.544896999999995
-2.258,8.909,2.273,-3.452,6.776,-5.57,3.626,9.548,1.911,5.413,229.59054099999997
6.511,-5.489,-0.969,4.502,-5.151,8.813,-7.756,7.365,0.848,-7.721,4.987755
2.688,-3.755,-0.102,4.73,-3.362,9.132,0.609,3.271,-9.079,6.804,56.83613099999998
-7.889,5.449,7.706,-5.92,-9.214,0.833,-7.992,-3.068,-5.192,4.911,-124.98468799999999
-6.652,7.897,4.159,4.149,-2.676,-2.846,5.333,-3.257,-7.618,-7.552,-67.450625
1.813,-5.589,-5.93,9.545,3.008,8.849,7.832,9.839,1.824,-9.917,126.52632799999999
1.727,2.227,8.698,1.652,7.875,0.645,3.856,-6.48,-3.805,3.296,145.45578400000002
-4.952,5.707,-5.286,-9.467,8.832,9.784,-4.632,-8.395,-1.097,-1.318,-110.02096399999996
6.778,-9.413,0.068,-7.37,0.816,-7.808,3.184,-8.71,-8.846,-5.123,-282.854553
-1.99,0.298,0.353,8.092,6.175,3.947,-5.459,-2.003,1.984,-8.823,20.727109
9.367,-7.944,-6.771,-8.237,-1.834,-8.687,7.77,-6.998,-0.398,1.305,-193.15368
-5.993,8.131,4.971,-2.913,-3.48,-0.042,-0.821,-8.26,5.895,3.731,19.009408999999994
5.726,9.691,-4.621,3.39,-0.636,9.581,7.406,-3.277,-0.177,-6.864,99.578332
-0.534,6.412,8.622,1.109,2.227,2.933,7.651,-6.963,7.492,-2.615,192.37573099999997
0.618,-4.043,5.089,-6.478,9.752,-8.464,7.4,-7.399,6.611,-3.313,9.779411000000014
-5.336,-9.194,9.429,2.212,-1.223,-8.707,6.936,7.691,-0.631,-3.05,25.521658999999975
-5.064,-0.695,6.451,1.932,-7.871,-6.586,-6.337,6.788,7.856,5.504,70.14933799999999
0.828,-3.784,-4.715,3.186,5.971,-4.114,9.326,1.773,-1.882,-3.284,7.267865000000004
3.969,2.29,4.553,9.198,-8.235,3.251,-8.134,-6.397,-8.452,9.789,11.133589000000008
-3.89,4.891,-5.467,5.418,9.143,4.616,-3.113,9.738,-8.987,-8.721,20.931043000000017
0.027,4.045,1.831,-6.31,5.931,-8.743,0.524,-4.338,-3.273,2.917,-41.046777
5.82,-3.762,-6.042,9.322,-3.357,0.865,2.351,4.5,-6.885,4.493,30.72915499999999
-6.331,-9.715,-8.487,1.607,-2.596,-0.935,6.849,2.312,-5.61,-1.308,-205.29564200000002
-9.042,5.769,-5.561,-3.613,-2.857,9.61,-8.843,-5.572,-0.51,-9.757,-243.45251099999996
-3.221,-7.655,-3.428,-0.125,-4.603,1.635,4.779,7.903,-9.625,-4.903,-156.37935
-4.257,2.084,-5.384,5.269,-5.337,5.701,4.467,-7.679,2.91,4.054,-23.530624999999997
-1.912,-7.061,-2.894,6.068,6.981,1.763,1.976,1.238,-3.956,-3.636,-23.976177000000014
